"","Country","articleCount","GDPperCapita","GDPRank","PPP2013","articleRank"
"122","Nigeria",32,3005.513796,148,2831.48,35.5
"123","North America",15,52939.84089,11,NA,68.5
"124","North Korea",4,NA,NA,NA,120.5
"125","Norway",124,100818.5032,2,54946.68,12
"126","Oceania/Pacific Islands",2,NA,NA,NA,152
"127","Oman",2,21929.01457,45,29813.16,152
"128","Pakistan",10,1275.301817,174,3149.42,81.5
"129","Palau",1,11810.08701,69,23665.65,178
"130","Palestine",28,NA,NA,NA,45
"131","Panama",2,11036.80739,72,16658.14,152
"132","Papua New Guinea",6,2088.352257,154,2833.85,105
"133","Paraguay",2,4264.650642,126,6823.19,152
"134","Peru",11,6661.591112,101,11123.7,76.5
"135","Philippines",17,2765.084587,150,4681.96,62.5
"136","Poland",32,13647.9647,62,21214.3,35.5
"137","Portugal",31,21733.07306,46,23068.36,38.5
"138","Puerto Rico",22,28528.9971,35,NA,54
"139","Qatar",4,93714.06338,3,98813.66,120.5
"140","Republic of Congo",1,NA,NA,NA,178
"141","Republic of Serbia",2,NA,NA,NA,152
"142","Romania",88,9499.205679,81,13395.9,18
"143","Russia",33,14611.70078,59,17884.49,34
"144","Rwanda",9,638.6657954,195,1538.22,85.5
"145","Samoa",3,4212.363465,127,6209.83,132
"146","Saudi Arabia",8,25961.80842,37,31244.74,90.5
"147","Scandinavia",2,NA,NA,NA,152
"148","Senegal",3,1046.586426,180,1958.21,132
"149","Serbia and Montenegro",1,NA,NA,NA,178
"150","Sierra Leone",8,678.9609045,193,1541.76,90.5
"151","Singapore",58,55182.48279,9,64583.63,24
"152","Slovakia",7,NA,NA,NA,97.5
"153","Slovenia",26,23289.33573,41,27899.78,47.5
"154","Somalia",7,NA,NA,NA,97.5
"155","South Africa",170,6617.911609,102,11259.14,10
"156","South America",4,NA,NA,NA,120.5
"157","South Korea",29,25976.95283,36,33189.06,42.5
"158","Spain",58,29863.17672,34,29851.1,24
"159","Sri Lanka",9,3279.89139,142,6530.51,85.5
"160","St Kitts",1,NA,NA,NA,178
"161","Sudan",3,1753.38091,161,2631.12,132
"162","Swaziland",2,3034.223184,147,6218.03,152
"163","Sweden",297,60430.21558,7,41188.39,9
"164","Switzerland",19,84815.40701,5,46430.13,59
"165","Syria",2,NA,NA,NA,152
"166","Taiwan",67,NA,NA,39767.01,21
"167","Tajikistan",4,1036.583276,182,2354.07,120.5
"168","Tanzania",11,694.7711797,190,1715.5,76.5
"169","Thailand",37,5778.977216,109,9874.51,31
"170","Togo",2,636.43645,196,1084,152
"171","Tonga",2,4426.944581,122,8167.81,152
"172","Trinidad and Tobago",11,18372.90432,51,20437.69,76.5
"173","Tunisia",1,4316.685695,125,9931.66,178
"174","Turkey",29,10971.65631,73,15352.61,42.5
"175","Uganda",30,571.9600416,198,1483.88,41
